Number of clusters,AUC,F1
2,0.64795065647,0.53050996657
3,0.660060705532,0.536465797955
4,0.657118927463,0.52065086725
5,0.635892255481,0.512990061878
6,0.653721081489,0.514526332753
7,0.625341533913,0.508951856858
8,0.647830671083,0.510379862758
9,0.652054885803,0.52643617192
10,0.638502359151,0.504576084156
11,0.634896715307,0.510901052423
12,0.650622109072,0.511765945468
14,0.63263933362,0.524967176527
15,0.640458343926,0.532109829486
16,0.637937562494,0.536593548434
17,0.640150474003,0.512878267655
18,0.639194307943,0.520105017455
19,0.656007485068,0.53832252087
20,0.651641628254,0.520639524995
21,0.640765107243,0.515581612534
22,0.621966071103,0.530425934409
23,0.655602177237,0.526149145889
24,0.640576399514,0.523189108217
25,0.631925258558,0.502743957129
26,0.639918643411,0.532404517642
27,0.636827751018,0.518494736318
28,0.644791049117,0.522395898092
29,0.653890657046,0.522215175698
30,0.649333393039,0.525963310406
31,0.639476541397,0.532253959975
32,0.638924766873,0.553822318669
33,0.651775492189,0.541997361203
34,0.653828291956,0.538781853597
35,0.648350016052,0.557052819199
36,0.65914084117,0.548633930084
37,0.645884685102,0.537943722248
38,0.643475615937,0.541739444711
39,0.646963830465,0.547299870686
40,0.656152710539,0.535224034783
41,0.646362301637,0.527500825206
42,0.635272470881,0.528634684874
43,0.642908953247,0.545569307827
44,0.636674506333,0.52166944321
45,0.646634405642,0.525026167724
